Hipotesis,Hubungan,Original Sample (O),mean,Standard Deviation,perc.025,perc.975,t stat.,P-Values,Keputusan,f2
H1,F07 -> F09,-0.08301760666517623,0.08384342990365568,0.03461438611293758,0.016056387580086626,0.15150894614376287,2.398355596840913,0.016505298689208026,DITERIMA,7.612927511468647e-08
H2,F04 -> F10,0.06512390311259803,0.06965378664117297,0.05337761276545687,-0.02925298264017773,0.17594509772047429,1.2200602413366588,0.22249959191682667,DITOLAK,7.265650142876322e-08
H3,F08 -> F10,0.46243341135434307,0.45874084167630674,0.06850850407613769,0.3255517240894281,0.5941396020045359,6.750014725769118,1.646371927677137e-11,DITERIMA,7.265650142876322e-08
H4,F09 -> F10,0.35597565952639754,0.3556022716498376,0.06693421703997154,0.21930023027072668,0.48617856117082286,5.318291230833659,1.0930926030994215e-07,DITERIMA,7.265650142876322e-08
H5,F01 -> F09,0.13191619196813859,0.13591806542575563,0.06603369996535435,0.005994770672877486,0.2646436986198903,1.9977101394795467,0.045802187570531006,DITERIMA,7.612927511468647e-08
H6,F02 -> F09,-0.008592549168728718,-0.004234413933639146,0.05546528586574445,-0.11610866320917025,0.10233298412273843,0.15491760358951842,0.876892529778913,DITOLAK,7.612927511468647e-08
H7,F03 -> F09,0.1965347855360082,0.1936666952514788,0.050068351524391826,0.09882086887473292,0.29449032828649896,3.925329665392763,8.77754842798506e-05,DITERIMA,7.612927511468647e-08
H8,F04 -> F09,0.03876348250637542,0.03669671893887802,0.054795288182257734,-0.06766175456001969,0.14854284424952593,0.7074236452127415,0.4793362240313006,DITOLAK,7.612927511468647e-08
H9,F05 -> F09,0.34367213923443274,0.3434195738776515,0.07113495009528371,0.2056016881469355,0.4838876436823245,4.831269843784123,1.3972022356867342e-06,DITERIMA,7.612927511468647e-08
H10,F06 -> F09,-0.046927077626393955,-0.04638158321512141,0.04180447835287998,-0.1299112105281431,0.03575928701907299,1.1225370935207728,0.26168805588920896,DITOLAK,7.612927511468647e-08
H11,F08 -> F09,0.2532730453423966,0.24903437236184778,0.06108090165844275,0.13095130032879423,0.3684034104609896,4.146517789777724,3.4316312154780704e-05,DITERIMA,7.612927511468647e-08
